id,name,host_id,host_name,number_of_reviews,last_review,reviews_per_month,Rating
21644,"Upper Manhattan, New York",82685,Elliott,1,09-10-2018,0.11,1.6
32363,Fully Furnished Basement Apartment,140025,Fredah,1,19-09-2011,0.01,4.3
59121,"Nice, clean, safe, convenient 3BR",204539,Mark,1,17-09-2012,0.01,1.7
60673,Private Room/bath Luxurious Harlem,249372,Cynthia,1,07-10-2018,0.11,0
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,7310,Tilly,1,02-01-2019,0.16,0.2
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,Allison,1,28-03-2011,0.01,4.6
98330,LOVELY APARTMENT IN THE HEART OF NY,31374,Shon,1,03-01-2012,0.01,2.7
112304,Cozy Private Room in West Harlem!,573316,Kelli,1,02-01-2016,0.02,3.9
188146,"""The Oasis"" on Bedford Williamsburg",906200,Mariana,1,01-01-2016,0.02,4.6
189181,Room in Chic Modern High Line Luxury- New!,912541,David,1,20-04-2014,0.02,3.3
213272,CreaTive Live-In Artspace/Birdsnest,293130,Meli,1,21-04-2019,0.37,4
229874,Oversized Studio in Park Slope,507304,Derrick,1,02-01-2012,0.01,1.5
231414,TURQUOISE: One-Bedroom Apt. in Soho,1184442,Roberto,1,09-07-2013,0.01,0.3
263232,Cozy&Clean in a great neighborhood,1381171,Nicole,1,27-01-2019,0.18,1.2
268481,Resort-like living in Williamsburg,1380703,Vishal,1,24-09-2013,0.01,3.9
274743,Charming furnished Studio-Loft,1436404,Catherine,1,31-08-2014,0.02,1.3
276216,Nights in White Satin in the Slope,1440691,Dena,1,01-09-2016,0.03,0.1
278876,"Large, furnished room in a 2 bedroom!",368528,Ally,1,18-03-2017,0.04,3.8
281521,Amazing West Village 2br,70614,Vimal,1,02-10-2012,0.01,4.1
285442,Huge room with private balcony,1475866,Jesper,1,06-05-2013,0.01,1.3
291812,"Entire Apartment in Astoria, 15mins from Manhattan",1509416,Natalia,1,30-08-2016,0.03,0.6
295231,"Sunny, clean br available",1387286,Felicia,1,24-03-2014,0.02,0.6
297611,Inexpensive apartment in exchange for cat-care,997124,Alison,1,13-05-2018,0.07,1.5
311003,"2 BD / 2BA WITH GARDEN, SLEEPS 6",72747,Karen,1,21-04-2013,0.01,5
327521,"Lovely studio in East Village, NY",82896,Esther,1,16-11-2015,0.02,3.8
367042,Eastern Parkway Brooklyn 1BR Flat,774128,Andre,1,04-09-2014,0.02,3.4
415304,Cute east village apartment.,2050328,Martis,1,31-05-2016,0.03,3.7
447766,"Great 1 BR Apt in Kips Bay, NY",1109143,Mark,1,21-08-2014,0.02,0.2
479285,Rent in beautiful Sunnyside Gardens for holidays,2374190,Jazmin,1,30-12-2012,0.01,0.9
505231,"Enjoy a 1 Bedroom to share, NYC",2490915,Catherine,1,22-06-2012,0.01,4.5
511436,"Wake up to the skyline of the city, prime location",2519356,Darya,1,26-05-2018,0.07,3.5
513343,"Cozy, Hella Sunny, and Convenient!",2528671,Dennis,1,11-07-2012,0.01,0.4
516643,"Williamsburg Apt, close to metro L",2543761,Stephane,1,04-01-2013,0.01,2.7
560406,Charming old school 1BR in C. Gardens Brooklyn,2755668,Annie,1,11-07-2012,0.01,3.8
563496,Studio Apartment Greenwich Village,2770985,Aaron,1,05-09-2012,0.01,1.3
565814,Bright friendly room in Brooklyn,532819,Heather,1,28-12-2016,0.03,5
582272,Privet Room in Greenpoint +Backyard *location,2712129,Raziel,1,13-11-2018,0.13,0.4
587519,Huge Bdrm in New Wilibrg 3 Bed Loft,2897835,Tim,1,31-03-2015,0.02,1.5
588677,Great find- 2 bedroom apartment in Williamsburg!,2407024,Michael,1,10-08-2012,0.01,2.8
637504,Private bedroom in a 2-fam house for solo traveler,3179968,Tony,1,04-06-2018,0.08,4.1
639781,East Village 1 Bedroom Apartment,3194190,Jack,1,05-01-2019,0.16,4.9
640589,Sweet Super Bowl Accomodations,3198479,Gina,1,18-09-2012,0.01,3.9
652691,COLUMBUS CIRCLE~100% FURNISHED W.58,1475015,Mike,1,01-11-2012,0.01,1.4
655472,Lovely 2-room Studio in Crown Hghts,326329,Nick,1,25-08-2012,0.01,4.2
668400,1BR in nice 2BR Apt lovely Area ,3383354,Martina,1,16-07-2015,0.02,1.1
679633,Cozy 1 bedroom apartment in NYC,3458785,Glauce,1,18-09-2012,0.01,3.3
680225,"Large private bedroom in house, Bushwick/Ridgewood",2675998,Alice,1,03-01-2018,0.05,3.1
696593,Park Slope One bedroom with Balcony,3228992,Karin,1,16-07-2015,0.02,3.6
714075,Room in Clinton Hill Brooklyn Loft,3597769,Enid,1,08-08-2013,0.01,4
716169,Feel the Brooklyn Love!,2055073,Melissa,1,14-05-2015,0.02,2.6
722451,"NYC Spacious 3b, new, river view",3730928,Dustin,1,05-10-2015,0.02,4.3
722464,Large Private Room in Clinton Hill Brooklyn Loft,3597769,Enid,1,07-01-2019,0.16,4.7
726692,House 10 min from Midtown Manhattan,3641304,Remo,1,29-08-2015,0.02,1.2
738588,"Wedding guests accommodations, 3-7 bedrooms",1360198,Marina,1,01-11-2015,0.02,1.7
741346,Entire 1BR Bohemian Apartment in Center of NYC,1099464,Nicolas,1,24-07-2018,0.09,1.1
755684,Cozy Soho Studio Loft Apt Bleecker ,3977494,Sandra,1,04-01-2013,0.01,1.5
757007,Zen Holiday Getaway,2124690,Chanelle,1,23-05-2015,0.02,4
764052,1 Bedroom Apartment in quiet area.,2618273,Sabrina,1,27-12-2016,0.03,3.4
769175,Gorgeous apt. steps from subway,4061660,Amy,1,01-07-2017,0.04,4.5
769279,Room for rent in East Village,1228080,Sasha,1,01-05-2016,0.03,2.6
770514,"Studio in FlatIron, NYC !! ",4064804,Niki,1,22-09-2014,0.02,3.1
773844,2 Beautiful Large Rooms/Fort Greene,4083145,Hannah,1,30-09-2018,0.11,2.2
784170,"HUGE, SUNNY ROOM, BLOCK 4RM TRAIN!",430188,Pam,1,10-06-2014,0.02,0.3
785166,Comfy Cool Convenient Downtown Manhattan,2840710,Mark,1,17-10-2013,0.01,1.6
796370,Monthly discount - 2 bedroom  - upper east side,61491,D,1,30-09-2017,0.05,4.2
798128,Large one-bed apt Upper East Side,4160649,Alex,1,03-01-2017,0.03,0.3
807882,Apt in Heart of Williamsburg,4250697,Brandon,1,30-06-2013,0.01,1.2
808476,Great Space / Private Room,3775799,Wendee,1,01-11-2013,0.01,2
811450,Private Townhouse Guest Suite,4267089,Jo,1,02-01-2015,0.02,3
812057,DEBBIE'S COZY RETREAT,4065620,Debbie,1,01-01-2013,0.01,0.1
820801,"Sunny 2BD, 2 balconies",25632,LeeAnn,1,12-09-2014,0.02,1.9
830840,Private Bedroom in a Studio,4350748,Anna,1,12-12-2012,0.01,0.3
832596,Spacious 1 BR Near the Water UES,1723222,Nick,1,24-05-2016,0.03,2.1
